Position,Team Name,Played Games,Wins,Win Percentage,Losses,Loss Percentage,Points For,Points Against,Form,Description
0,AIK Basket,20,7,0.350,13,0.650,1616,1743,,
0,Akersberga,20,6,0.300,14,0.700,1571,1674,,
0,Alvik,20,11,0.550,9,0.450,1681,1610,,
0,Aros Basket,18,9,0.500,9,0.500,1433,1432,,
0,Blackeberg,19,7,0.368,12,0.632,1407,1490,,
0,Djurgarden,18,8,0.444,10,0.556,1441,1431,,
0,Huddinge,19,8,0.421,11,0.579,1485,1576,,
0,IK Eos,19,6,0.316,13,0.684,1592,1662,,
0,KFUM Fryshuset,19,14,0.737,5,0.263,1592,1440,,
0,Malbas,18,10,0.556,8,0.444,1533,1368,,
0,Ockelbo,19,10,0.526,9,0.474,1456,1410,,
0,Sloga Uppsala,20,17,0.850,3,0.150,1734,1530,,
0,Tureberg,18,5,0.278,13,0.722,1259,1499,,
0,Wetterbygden Stars,21,16,0.762,5,0.238,1764,1699,,
